a_date,a_country_iso2,asn_count
2020-09-09,LT,164
2020-09-10,LT,164
2020-09-11,LT,165
2020-09-12,LT,165
2020-09-13,LT,165
2020-09-14,LT,165
2020-09-15,LT,165
2020-09-16,LT,165
2020-09-17,LT,165
2020-09-18,LT,165
2020-09-19,LT,165
2020-09-20,LT,165
2020-09-21,LT,165
2020-09-22,LT,165
2020-09-23,LT,165
2020-09-24,LT,165
2020-09-25,LT,165
2020-09-26,LT,165
2020-09-27,LT,165
2020-09-28,LT,165
2020-09-29,LT,165
2020-09-30,LT,165
2020-10-01,LT,165
2020-10-02,LT,165
2020-10-03,LT,165
2020-10-04,LT,165
2020-10-05,LT,166
2020-10-06,LT,166
2020-10-07,LT,166
2020-10-08,LT,166
2020-10-09,LT,166
2020-10-10,LT,166
2020-10-11,LT,166
2020-10-12,LT,166
2020-10-13,LT,166
2020-10-14,LT,166
2020-10-15,LT,166
2020-10-16,LT,166
2020-10-17,LT,166
2020-10-18,LT,166
2020-10-19,LT,166
2020-10-20,LT,166
2020-10-21,LT,166
2020-10-22,LT,166
2020-10-23,LT,166
2020-10-24,LT,166
2020-10-25,LT,166
2020-10-26,LT,166
2020-10-27,LT,165
2020-10-28,LT,165
2020-10-29,LT,165
2020-10-30,LT,165
2020-10-31,LT,165
2020-11-01,LT,165
2020-11-02,LT,165
2020-11-03,LT,165
2020-11-04,LT,165
2020-11-05,LT,165
2020-11-06,LT,165
2020-11-07,LT,165
2020-11-08,LT,165
2020-11-09,LT,165
2020-11-10,LT,166
2020-11-11,LT,166
2020-11-12,LT,166
2020-11-13,LT,166
2020-11-14,LT,166
2020-11-15,LT,166
2020-11-16,LT,167
2020-11-17,LT,166
2020-11-18,LT,167
2020-11-19,LT,166
2020-11-20,LT,166
2020-11-21,LT,166
2020-11-22,LT,166
2020-11-23,LT,166
2020-11-24,LT,166
2020-11-25,LT,165
2020-11-26,LT,165
2020-11-27,LT,165
2020-11-28,LT,165
2020-11-29,LT,165
2020-11-30,LT,165
2020-12-01,LT,165
2020-12-02,LT,165
2020-12-03,LT,165
2020-12-04,LT,165
2020-12-05,LT,165
2020-12-06,LT,165
2020-12-07,LT,165
2020-12-08,LT,165
2020-12-09,LT,165
2020-12-10,LT,165
2020-12-11,LT,165
2020-12-12,LT,165
2020-12-13,LT,165
2020-12-14,LT,165
2020-12-15,LT,165
2020-12-16,LT,167
2020-12-17,LT,165
2020-12-18,LT,165
2020-12-19,LT,165
2020-12-20,LT,165
2020-12-21,LT,164
2020-12-22,LT,164
2020-12-23,LT,165
2020-12-24,LT,165
2020-12-25,LT,165
2020-12-26,LT,165
2020-12-27,LT,165
2020-12-28,LT,165
2020-12-29,LT,165
2020-12-30,LT,165
2020-12-31,LT,165
2021-01-01,LT,165
2021-01-02,LT,165
2021-01-03,LT,165
2021-01-04,LT,165
2021-01-05,LT,165
2021-01-06,LT,165
2021-01-07,LT,166
2021-01-08,LT,166
2021-01-09,LT,166
2021-01-10,LT,166
2021-01-11,LT,166
2021-01-12,LT,166
2021-01-13,LT,166
2021-01-14,LT,166
2021-01-15,LT,166
2021-01-16,LT,166
2021-01-17,LT,166
2021-01-18,LT,166
2021-01-19,LT,166
2021-01-20,LT,166
2021-01-21,LT,166
2021-01-22,LT,166
2021-01-23,LT,166
2021-01-24,LT,166
2021-01-25,LT,166
2021-01-26,LT,166
2021-01-27,LT,166
2021-01-28,LT,166
2021-01-29,LT,166
2021-01-30,LT,166
2021-01-31,LT,166
2021-02-01,LT,166
2021-02-02,LT,166
2021-02-03,LT,166
2021-02-04,LT,167
2021-02-05,LT,167
2021-02-06,LT,167
2021-02-07,LT,167
2021-02-08,LT,167
2021-02-09,LT,167
2021-02-10,LT,168
2021-02-11,LT,168
2021-02-12,LT,168
2021-02-13,LT,168
2021-02-14,LT,168
2021-02-15,LT,168
2021-02-16,LT,168
2021-02-17,LT,168
2021-02-18,LT,169
2021-02-19,LT,169
2021-02-20,LT,169
2021-02-21,LT,169
2021-02-22,LT,169
2021-02-23,LT,169
2021-02-24,LT,169
2021-02-25,LT,169
2021-02-26,LT,169
2021-02-27,LT,169
2021-02-28,LT,169
2021-03-01,LT,168
2021-03-02,LT,168
2021-03-03,LT,168
2021-03-04,LT,168
2021-03-05,LT,168
2021-03-06,LT,168
2021-03-07,LT,168
2021-03-08,LT,168
2021-03-09,LT,168
2021-03-10,LT,168
2021-03-11,LT,168
2021-03-12,LT,169
2021-03-13,LT,169
2021-03-14,LT,169
2021-03-15,LT,169
2021-03-16,LT,169
2021-03-17,LT,170
2021-03-18,LT,170
2021-03-19,LT,170
2021-03-20,LT,170
2021-03-21,LT,170
2021-03-22,LT,170
2021-03-23,LT,169
2021-03-24,LT,169
2021-03-25,LT,169
2021-03-26,LT,169
2021-03-27,LT,169
2021-03-28,LT,169
2021-03-29,LT,169
2021-03-30,LT,169
2021-03-31,LT,169
2021-04-01,LT,169
2021-04-02,LT,169
2021-04-03,LT,169
2021-04-04,LT,169
2021-04-05,LT,169
2021-04-06,LT,169
2021-04-07,LT,170
2021-04-08,LT,170
2021-04-09,LT,170
2021-04-10,LT,170
2021-04-11,LT,170
2021-04-12,LT,170
2021-04-13,LT,170
2021-04-14,LT,170
2021-04-15,LT,170
2021-04-16,LT,170
2021-04-17,LT,170
2021-04-18,LT,170
2021-04-19,LT,170
2021-04-20,LT,170
2021-04-21,LT,171
2021-04-22,LT,172
2021-04-23,LT,172
2021-04-24,LT,172
2021-04-25,LT,172
2021-04-26,LT,172
2021-04-27,LT,172
2021-04-28,LT,173
2021-04-29,LT,173
2021-04-30,LT,173
2021-05-01,LT,173
2021-05-02,LT,173
2021-05-03,LT,173
